Area,Year,Value_Tonnes
Georgia,2015,25700
Georgia,2016,65200
Georgia,2017,19700
Georgia,2018,82700
Georgia,2019,44300
Georgia,2020,89000
Germany,2010,834960
Germany,2011,898448
Germany,2012,972405
Germany,2013,803784
Germany,2014,1115900
Germany,2015,973462
Germany,2016,1032913
Germany,2017,596666
Germany,2018,1198520
Germany,2019,991450
Germany,2020,1023320
Greece,2010,273804
Greece,2011,274115
Greece,2012,265822
Greece,2013,253700
Greece,2014,252240
Greece,2015,267018
Greece,2016,279665
Greece,2017,253107
Greece,2018,285810
Greece,2019,277110
Greece,2020,303580
Grenada,2010,434
Grenada,2011,438
Grenada,2012,466
Grenada,2013,452
Grenada,2014,502
Grenada,2015,471
Grenada,2016,475
Grenada,2017,483
Grenada,2018,476
Grenada,2019,453
Grenada,2020,457
Guatemala,2010,21773
Guatemala,2011,22440
Guatemala,2012,23242
Guatemala,2013,24304
Guatemala,2014,24812
Guatemala,2015,26227
Guatemala,2016,26499
Guatemala,2017,25429
Guatemala,2018,25014
Guatemala,2019,25392
Guatemala,2020,25497
Honduras,2010,174
Honduras,2011,175
Honduras,2012,177
Honduras,2013,178
Honduras,2014,180
Honduras,2015,183
Honduras,2016,185
Honduras,2017,186
Honduras,2018,187
Honduras,2019,189
Honduras,2020,187
Hungary,2010,496916
Hungary,2011,292810
Hungary,2012,650600
Hungary,2013,591870
Hungary,2014,779850
Hungary,2015,511460
Hungary,2016,497108
Hungary,2017,473662
Hungary,2018,678780
Hungary,2019,498330
Hungary,2020,398710
India,2010,1777200
India,2011,2891000
India,2012,2203400
India,2013,1915000
India,2014,2497680
India,2015,2134000
India,2016,2521000
India,2017,2265000
India,2018,2327000
India,2019,2316000
India,2020,2734000
Iran (Islamic Republic of),2010,2903572
Iran (Islamic Republic of),2011,3112900
Iran (Islamic Republic of),2012,3103883
Iran (Islamic Republic of),2013,3035493
Iran (Islamic Republic of),2014,2412494
Iran (Islamic Republic of),2015,2500000
Iran (Islamic Republic of),2016,2096749
Iran (Islamic Republic of),2017,2398831
Iran (Islamic Republic of),2018,1936697
Iran (Islamic Republic of),2019,2241124
Iran (Islamic Republic of),2020,2206723
Iraq,2010,39601
Iraq,2011,45948
Iraq,2012,52318
Iraq,2013,62433
Iraq,2014,63376
Iraq,2015,42307
Iraq,2016,44495
Iraq,2017,47626
Iraq,2018,49644
Iraq,2019,75831
Iraq,2020,79413
Ireland,2010,21100
Ireland,2011,20400
Ireland,2012,12100
Ireland,2013,15200
Ireland,2014,19600
Ireland,2015,18800
Ireland,2016,21800
Ireland,2017,21369
Ireland,2018,20140
Ireland,2019,19880
Ireland,2020,19470
Israel,2010,131474
Israel,2011,119231
Israel,2012,108000
Israel,2013,112128
Israel,2014,77813
Israel,2015,108000
Israel,2016,100000
Israel,2017,113000
Israel,2018,111000
Israel,2019,104000
Israel,2020,104000
Italy,2010,2204972
Italy,2011,2411201
Italy,2012,1991312
Italy,2013,2216963
Italy,2014,2473608
Italy,2015,2473608
Italy,2016,2455616
Italy,2017,1921272
Italy,2018,2466990
Italy,2019,2303690
Italy,2020,2462440
Japan,2010,786500
Japan,2011,655300
Japan,2012,793800
Japan,2013,741700
Japan,2014,816300
Japan,2015,811500
Japan,2016,765000
Japan,2017,735200
Japan,2018,756100
Japan,2019,701600
Japan,2020,720405
Jordan,2010,28770
Jordan,2011,39653
Jordan,2012,36377
Jordan,2013,40635
Jordan,2014,39902
Jordan,2015,56570
Jordan,2016,55197
Jordan,2017,24496
Jordan,2018,20517
Jordan,2019,21051
Jordan,2020,25310
Kazakhstan,2010,107150
Kazakhstan,2011,114654
Kazakhstan,2012,129700
Kazakhstan,2013,143856
Kazakhstan,2014,157870
Kazakhstan,2015,147561
